         Estimate  Std. Error  t-value  Pr(>|t|)    
6532   0.11891674  0.02842845   4.1830 2.877e-05 ***
6533   0.06155847  0.02756572   2.2332 0.0255388 *  
6534   0.16203282  0.02759710   5.8714 4.322e-09 ***
6535   0.14881191  0.02758154   5.3953 6.839e-08 ***
6611   0.12651148  0.03151615   4.0142 5.965e-05 ***
6631   0.10435131  0.02762997   3.7767 0.0001589 ***
6632   0.08962722  0.02762444   3.2445 0.0011766 ** 
6633   0.15300794  0.02756875   5.5500 2.856e-08 ***
6634   0.17405097  0.02757286   6.3124 2.747e-10 ***
6635   0.15438532  0.02760172   5.5933 2.228e-08 ***
6636   0.14411598  0.02758265   5.2249 1.743e-07 ***
7132   0.04187100  0.03281244   1.2761 0.2019305    
7134  -0.02495598  0.03592870  -0.6946 0.4873077    
7137   0.06893910  0.03041379   2.2667 0.0234082 *  
7138   0.09835156  0.03152527   3.1198 0.0018099 ** 
7140   0.05953833  0.03427218   1.7372 0.0823483 .  
7141   0.06339872  0.02840687   2.2318 0.0256276 *  
7143   0.09228003  0.02933444   3.1458 0.0016564 ** 
7231   0.04023581  0.02757764   1.4590 0.1445648    
7232   0.04393648  0.02757236   1.5935 0.1110487    
7235   0.04005234  0.02756670   1.4529 0.1462447    
7333   0.02117710  0.03042923   0.6959 0.4864627    
7336  -0.03269963  0.02758643  -1.1854 0.2358783    
7340   0.03103207  0.02937142   1.0565 0.2907218    
8115   0.06436620  0.03150832   2.0428 0.0410691 *  
8116   0.05656682  0.02760277   2.0493 0.0404312 *  
8117   0.10679793  0.02846802   3.7515 0.0001758 ***
8118   0.11163482  0.02762250   4.0414 5.312e-05 ***
8119   0.02656752  0.02758515   0.9631 0.3354926    
8125   0.05115230  0.02763199   1.8512 0.0641410 .  
8126   0.06404859  0.02761583   2.3193 0.0203803 *  
8127   0.01824422  0.02760365   0.6609 0.5086540    
8128   0.03026680  0.02759889   1.0967 0.2727867    
8135   0.03943118  0.03285171   1.2003 0.2300314    
8136   0.03944581  0.02756656   1.4309 0.1524504    
8215   0.00959349  0.03284862   0.2921 0.7702473    
8216   0.01816701  0.03285088   0.5530 0.5802535    
8225  -0.01264067  0.02757356  -0.4584 0.6466403    
8226   0.01868445  0.02763284   0.6762 0.4989339    
8235  -0.01449987  0.03279545  -0.4421 0.6583946    
8236   0.10050989  0.02761296   3.6400 0.0002727 ***
8237   0.05329067  0.02760395   1.9305 0.0535393 .  
8315   0.00079990  0.03286144   0.0243 0.9805801    
8316   0.05125958  0.03604874   1.4220 0.1550402    
8317   0.02741605  0.03046270   0.9000 0.3681268    
8325  -0.00103069  0.02760630  -0.0373 0.9702177    
8326   0.08604583  0.03285257   2.6192 0.0088149 ** 
8327   0.05758307  0.02849184   2.0210 0.0432759 *  
8335   0.03790888  0.02759768   1.3736 0.1695580    
8336   0.07459525  0.03283823   2.2716 0.0231108 *  
8337   0.03093311  0.02759700   1.1209 0.2623361    
8415  -0.06372301  0.02851844  -2.2344 0.0254535 *  
8416   0.02541686  0.03278569   0.7752 0.4381964    
8417  -0.01051704  0.02757307  -0.3814 0.7028885    
8425   0.06702686  0.02762623   2.4262 0.0152577 *  
8426   0.08570195  0.02758465   3.1069 0.0018908 ** 
8435   0.12757200  0.03283111   3.8857 0.0001020 ***
8436   0.03445930  0.02759729   1.2486 0.2117939    
8437   0.06039986  0.02762592   2.1863 0.0287902 *  
9161   0.08801335  0.02759508   3.1895 0.0014254 ** 
9162   0.10515651  0.02759098   3.8113 0.0001383 ***
9163   0.09780209  0.02756696   3.5478 0.0003885 ***
9171   0.12822964  0.02756371   4.6521 3.285e-06 ***
9172   0.14862941  0.02756001   5.3929 6.932e-08 ***
9173  -0.04859015  0.02759552  -1.7608 0.0782726 .  
9174   0.06478690  0.02759684   2.3476 0.0188938 *  
9175   0.13579498  0.02761091   4.9182 8.736e-07 ***
9176   0.13626894  0.02759046   4.9390 7.853e-07 ***
9177   0.17312495  0.02759498   6.2738 3.524e-10 ***
9178   0.06998263  0.02757049   2.5383 0.0111387 *  
9179   0.12992722  0.02757826   4.7112 2.462e-06 ***
9181   0.09167708  0.02758506   3.3234 0.0008892 ***
9182   0.09860129  0.02758766   3.5741 0.0003514 ***
9183   0.16660895  0.02756692   6.0438 1.505e-09 ***
9184   0.06026095  0.02759302   2.1839 0.0289681 *  
9185   0.13673485  0.02763163   4.9485 7.479e-07 ***
9186   0.12678117  0.02762111   4.5900 4.432e-06 ***
9187   0.16402567  0.02757677   5.9480 2.715e-09 ***
9188   0.05604373  0.02758443   2.0317 0.0421824 *  
9189   0.10190772  0.02756100   3.6975 0.0002177 ***
9190   0.16643608  0.02757806   6.0351 1.589e-09 ***
9261   0.15898693  0.02756780   5.7671 8.064e-09 ***
9262   0.12701353  0.02756309   4.6081 4.064e-06 ***
9263   0.17075602  0.02756440   6.1948 5.836e-10 ***
9271   0.14596249  0.02757109   5.2940 1.196e-07 ***
9272   0.06411089  0.02759614   2.3232 0.0201693 *  
9273   0.12375514  0.02758655   4.4861 7.255e-06 ***
9274   0.16899656  0.02757447   6.1287 8.858e-10 ***
9275   0.11962714  0.02757076   4.3389 1.432e-05 ***
9276   0.04949147  0.02762576   1.7915 0.0732135 .  
9277   0.16498655  0.02757656   5.9829 2.193e-09 ***
9278   0.11145493  0.02756890   4.0428 5.282e-05 ***
9279   0.14276638  0.02755983   5.1802 2.216e-07 ***
9361   0.10103760  0.02757589   3.6640 0.0002483 ***
9362   0.12486479  0.02757996   4.5274 5.972e-06 ***
9363   0.10501119  0.02759299   3.8057 0.0001414 ***
9371   0.11707817  0.02758329   4.2445 2.190e-05 ***
