         Estimate  Std. Error  t-value  Pr(>|t|)    
6532   0.11866998  0.02843064   4.1740 2.993e-05 ***
6533   0.06130914  0.02756796   2.2239 0.0261533 *  
6534   0.16172428  0.02760016   5.8595 4.641e-09 ***
6535   0.14875630  0.02758233   5.3932 6.922e-08 ***
6611   0.12607631  0.03152103   3.9998 6.341e-05 ***
6631   0.10426012  0.02763089   3.7733 0.0001611 ***
6632   0.08918449  0.02762996   3.2278 0.0012474 ** 
6633   0.15252993  0.02757508   5.5314 3.176e-08 ***
6634   0.17344249  0.02758266   6.2881 3.214e-10 ***
6635   0.15383568  0.02760985   5.5718 2.522e-08 ***
6636   0.14358563  0.02759027   5.2042 1.948e-07 ***
7132   0.04223882  0.03281609   1.2871 0.1980463    
7134  -0.02446143  0.03593424  -0.6807 0.4960439    
7137   0.06819532  0.03042689   2.2413 0.0250076 *  
7138   0.09803953  0.03152818   3.1096 0.0018735 ** 
7140   0.05917227  0.03427572   1.7264 0.0842824 .  
7141   0.06304931  0.02841052   2.2192 0.0264715 *  
7143   0.09271805  0.02933963   3.1602 0.0015768 ** 
7231   0.04048195  0.02757984   1.4678 0.1421560    
7232   0.04433781  0.02757703   1.6078 0.1078833    
7235   0.04070011  0.02757772   1.4758 0.1399886    
7333   0.02078619  0.03043342   0.6830 0.4946035    
7336  -0.03244540  0.02758873  -1.1760 0.2395796    
7340   0.03173273  0.02938349   1.0800 0.2801639    
8115   0.06443618  0.03150924   2.0450 0.0408556 *  
8116   0.05680449  0.02760488   2.0578 0.0396122 *  
8117   0.10746538  0.02847935   3.7734 0.0001610 ***
8118   0.11165513  0.02762322   4.0421 5.298e-05 ***
8119   0.02717461  0.02759491   0.9848 0.3247375    
8125   0.05157219  0.02763702   1.8661 0.0620337 .  
8126   0.06446422  0.02762078   2.3339 0.0196008 *  
8127   0.01865762  0.02760855   0.6758 0.4991731    
8128   0.03003625  0.02760091   1.0882 0.2764917    
8135   0.03922767  0.03285342   1.1940 0.2324697    
8136   0.03974035  0.02756941   1.4415 0.1494532    
8215   0.01014215  0.03285568   0.3087 0.7575589    
8216   0.01939751  0.03288292   0.5899 0.5552601    
8225  -0.01231783  0.02757683  -0.4467 0.6551111    
8226   0.01906600  0.02763713   0.6899 0.4902765    
8235  -0.01412444  0.03279921  -0.4306 0.6667348    
8236   0.10090707  0.02761754   3.6537 0.0002585 ***
8237   0.05390652  0.02761396   1.9521 0.0509207 .  
8315   0.00199814  0.03289185   0.0607 0.9515594    
8316   0.05284668  0.03609694   1.4640 0.1431882    
8317   0.02875367  0.03050322   0.9426 0.3458631    
8325  -0.00031171  0.02761969  -0.0113 0.9909954    
8326   0.08671004  0.03286251   2.6386 0.0083257 ** 
8327   0.05807565  0.02849835   2.0379 0.0415639 *  
8335   0.03817927  0.02760019   1.3833 0.1665737    
8336   0.07637086  0.03290400   2.3210 0.0202857 *  
8337   0.03213079  0.02763287   1.1628 0.2449212    
8415  -0.06335462  0.02852240  -2.2212 0.0263359 *  
8416   0.02567447  0.03278791   0.7830 0.4335995    
8417  -0.01011586  0.02757773  -0.3668 0.7137588    
8425   0.06692592  0.02762719   2.4225 0.0154156 *  
8426   0.08560988  0.02758557   3.1034 0.0019129 ** 
8435   0.12794350  0.03283481   3.8966 9.756e-05 ***
8436   0.03481280  0.02760107   1.2613 0.2072064    
8437   0.06044511  0.02762669   2.1879 0.0286751 *  
9161   0.08737430  0.02760582   3.1651 0.0015505 ** 
9162   0.10548872  0.02759441   3.8228 0.0001319 ***
9163   0.09892698  0.02759873   3.5845 0.0003378 ***
9171   0.12844177  0.02756553   4.6595 3.170e-06 ***
9172   0.14977548  0.02759297   5.4280 5.698e-08 ***
9173  -0.04750385  0.02762517  -1.7196 0.0855077 .  
9174   0.06473308  0.02759762   2.3456 0.0189963 *  
9175   0.13624174  0.02761652   4.9333 8.083e-07 ***
9176   0.13571781  0.02759863   4.9176 8.763e-07 ***
9177   0.17322461  0.02759594   6.2772 3.448e-10 ***
9178   0.06981492  0.02757190   2.5321 0.0113380 *  
9179   0.13006838  0.02757947   4.7161 2.404e-06 ***
9181   0.09184599  0.02758647   3.3294 0.0008704 ***
9182   0.09987185  0.02762795   3.6149 0.0003005 ***
9183   0.16670533  0.02756787   6.0471 1.475e-09 ***
9184   0.06071664  0.02759883   2.2000 0.0278089 *  
9185   0.13621131  0.02763906   4.9282 8.298e-07 ***
9186   0.12638988  0.02762557   4.5751 4.760e-06 ***
9187   0.16482943  0.02759333   5.9735 2.322e-09 ***
9188   0.05647641  0.02758974   2.0470 0.0406573 *  
9189   0.10248176  0.02756981   3.7172 0.0002015 ***
9190   0.16705790  0.02758826   6.0554 1.401e-09 ***
9261   0.15873135  0.02757012   5.7574 8.543e-09 ***
9262   0.12703256  0.02756382   4.6087 4.053e-06 ***
9263   0.17020316  0.02757262   6.1729 6.705e-10 ***
9271   0.14577608  0.02757266   5.2870 1.244e-07 ***
9272   0.06434722  0.02759823   2.3316 0.0197233 *  
9273   0.12335997  0.02759109   4.4710 7.785e-06 ***
9274   0.16881618  0.02757598   6.1219 9.249e-10 ***
9275   0.11958717  0.02757151   4.3373 1.442e-05 ***
9276   0.04927264  0.02762765   1.7835 0.0745124 .  
9277   0.16494096  0.02757732   5.9810 2.217e-09 ***
9278   0.11094418  0.02757602   4.0232 5.741e-05 ***
9279   0.14239620  0.02756391   5.1660 2.391e-07 ***
9361   0.10044734  0.02758515   3.6414 0.0002712 ***
9362   0.12420857  0.02759124   4.5017 6.740e-06 ***
9363   0.10452398  0.02759953   3.7872 0.0001524 ***
9371   0.11661074  0.02758936   4.2267 2.372e-05 ***
9372   0.13655326  0.02760604   4.9465 7.556e-07 ***
9373   0.08142414  0.02765084   2.9447 0.0032324 ** 
9374   0.07501766  0.02761321   2.7167 0.0065930 ** 
9375   0.09063028  0.02757935   3.2862 0.0010156 ** 
9376   0.07698933  0.02758724   2.7908 0.0052585 ** 
9377   0.13600286  0.02769726   4.9103 9.092e-07 ***
9461   0.05285280  0.03041606   1.7377 0.0822705 .  
9462   0.09050087  0.02759936   3.2791 0.0010414 ** 
9463   0.09021578  0.02757358   3.2718 0.0010686 ** 
9464   0.06622380  0.02766828   2.3935 0.0166889 *  
9471   0.05197059  0.02758815   1.8838 0.0595919 .  
9472   0.07862406  0.02762985   2.8456 0.0044325 ** 
9473   0.06250397  0.02759141   2.2653 0.0234917 *  
9474   0.08797786  0.02759092   3.1887 0.0014294 ** 
9475   0.07039909  0.02768557   2.5428 0.0109966 *  
9476  -0.00737528  0.02761861  -0.2670 0.7894383    
9477   0.16079826  0.02760525   5.8249 5.714e-09 ***
9478   0.08020782  0.02761538   2.9045 0.0036789 ** 
9479   0.05483405  0.02772307   1.9779 0.0479376 *  
9561   0.15054220  0.02760608   5.4532 4.946e-08 ***
9562   0.02010373  0.02759297   0.7286 0.4662577    
9563   0.02255009  0.02759933   0.8171 0.4138987    
9564   0.05458149  0.02758075   1.9790 0.0478193 *  
9565   0.07710774  0.02759653   2.7941 0.0052043 ** 
9571   0.10073037  0.02757681   3.6527 0.0002595 ***
9572   0.01549190  0.02762951   0.5607 0.5750013    
9573   0.01641295  0.02762148   0.5942 0.5523717    
9574   0.06830176  0.02762406   2.4725 0.0134155 *  
9575   0.07642830  0.02761184   2.7680 0.0056409 ** 
9576   0.08857543  0.02762005   3.2069 0.0013416 ** 
9577   0.12645006  0.02761592   4.5789 4.675e-06 ***
9661   0.10001499  0.02764764   3.6175 0.0002975 ***
9662   0.03057756  0.02758135   1.1086 0.2675892    
9663   0.15972390  0.02762984   5.7808 7.433e-09 ***
9671   0.10067466  0.02758371   3.6498 0.0002625 ***
9672   0.01485654  0.02756975   0.5389 0.5899759    
9673   0.05598481  0.02759431   2.0289 0.0424732 *  
9674   0.05454859  0.02760911   1.9757 0.0481835 *  
9675   0.04969039  0.02758871   1.8011 0.0716850 .  
9676   0.07795351  0.02758237   2.8262 0.0047103 ** 
9677   0.07905621  0.02758047   2.8664 0.0041519 ** 
9678   0.07580849  0.02758015   2.7487 0.0059839 ** 
9679   0.17296181  0.02760032   6.2667 3.689e-10 ***
9761   0.18291772  0.02761706   6.6234 3.511e-11 ***
9762   0.16323124  0.02761984   5.9099 3.423e-09 ***
9764   0.15344538  0.02758626   5.5624 2.661e-08 ***
9771   0.14163600  0.02761460   5.1290 2.912e-07 ***
9772   0.15970809  0.02762669   5.7809 7.429e-09 ***
9773   0.16598101  0.02762794   6.0077 1.881e-09 ***
9774   0.18062340  0.02757734   6.5497 5.765e-11 ***
9775   0.16390426  0.02756398   5.9463 2.742e-09 ***
9777   0.14720658  0.02758742   5.3360 9.502e-08 ***
9778   0.15435606  0.02758241   5.5962 2.191e-08 ***
9779   0.12965968  0.02761178   4.6958 2.656e-06 ***
10041 -0.00499542  0.02761521  -0.1809 0.8564508    
10042  0.01971784  0.02759337   0.7146 0.4748647    
10043 -0.01029615  0.02759494  -0.3731 0.7090611    
10044  0.00196246  0.02760300   0.0711 0.9433215    
10045 -0.05055053  0.02760953  -1.8309 0.0671142 .  
10046 -0.02998896  0.02758884  -1.0870 0.2770386    
12053 -0.20974298  0.02846784  -7.3677 1.736e-13 ***
12060 -0.37997299  0.02762883 -13.7528 < 2.2e-16 ***
12061 -0.37688017  0.02764560 -13.6326 < 2.2e-16 ***
12062 -0.34805757  0.02766190 -12.5826 < 2.2e-16 ***
12063 -0.29081785  0.02763315 -10.5242 < 2.2e-16 ***
12064 -0.25150974  0.02765063  -9.0960 < 2.2e-16 ***
12065 -0.32362545  0.02764790 -11.7052 < 2.2e-16 ***
