         Estimate  Std. Error  t-value  Pr(>|t|)    
6532   0.12655742  0.02765938   4.5756 4.749e-06 ***
6533   0.07131235  0.02680750   2.6602 0.0078102 ** 
6534   0.16310109  0.02683674   6.0775 1.220e-09 ***
6535   0.14263407  0.02685291   5.3117 1.086e-07 ***
6611   0.13178502  0.03069666   4.2931 1.762e-05 ***
6631   0.10049610  0.02686537   3.7407 0.0001835 ***
6632   0.09233568  0.02687275   3.4360 0.0005903 ***
6633   0.15703760  0.02686279   5.8459 5.038e-09 ***
6634   0.17282724  0.02684102   6.4389 1.203e-10 ***
6635   0.15453401  0.02692542   5.7393 9.505e-09 ***
6636   0.14398230  0.02687259   5.3580 8.417e-08 ***
7132   0.05357642  0.03193144   1.6779 0.0933748 .  
7134  -0.03397699  0.03498717  -0.9711 0.3314850    
7137   0.07170909  0.02961770   2.4212 0.0154712 *  
7138   0.12196447  0.03066492   3.9773 6.969e-05 ***
7140   0.06625281  0.03335585   1.9862 0.0470064 *  
7141   0.08165856  0.02766263   2.9519 0.0031578 ** 
7143   0.10223575  0.02856191   3.5794 0.0003443 ***
7231   0.05218939  0.02684334   1.9442 0.0518688 .  
7232   0.03563217  0.02687715   1.3257 0.1849251    
7235   0.04903474  0.02681808   1.8284 0.0674864 .  
7333   0.02926625  0.02954651   0.9905 0.3219227    
7336  -0.03075834  0.02680879  -1.1473 0.2512481    
7340   0.03388950  0.02852713   1.1880 0.2348434    
8115   0.07583855  0.03063124   2.4759 0.0132917 *  
8116   0.08306813  0.02681075   3.0983 0.0019462 ** 
8117   0.12780572  0.02768284   4.6168 3.897e-06 ***
8118   0.13649301  0.02682010   5.0892 3.596e-07 ***
8119   0.05414534  0.02681700   2.0191 0.0434801 *  
8125   0.07575837  0.02683390   2.8232 0.0047542 ** 
8126   0.08500298  0.02684085   3.1669 0.0015406 ** 
8127   0.03496391  0.02683059   1.3031 0.1925283    
8128   0.04380188  0.02685264   1.6312 0.1028494    
8135   0.04501478  0.03196129   1.4084 0.1590080    
8136   0.05546041  0.02685360   2.0653 0.0388958 *  
8215   0.04118340  0.03193418   1.2896 0.1971778    
8216   0.03912688  0.03197091   1.2238 0.2210172    
8225   0.00232165  0.02683063   0.0865 0.9310454    
8226   0.04188294  0.02688568   1.5578 0.1192769    
8235  -0.00096823  0.03192989  -0.0303 0.9758091    
8236   0.12217141  0.02678959   4.5604 5.105e-06 ***
8237   0.05469605  0.02686525   2.0359 0.0417563 *  
8315   0.03395125  0.03195055   1.0626 0.2879550    
8316   0.07687428  0.03501471   2.1955 0.0281288 *  
8317   0.04549144  0.02961749   1.5360 0.1245469    
8325  -0.00260883  0.02687968  -0.0971 0.9226821    
8326   0.08175686  0.03204864   2.5510 0.0107407 *  
8327   0.05989398  0.02777271   2.1566 0.0310387 *  
8335   0.04055544  0.02681996   1.5121 0.1304992    
8336   0.10394180  0.03194099   3.2542 0.0011372 ** 
8337   0.02806651  0.02684312   1.0456 0.2957570    
8415  -0.06224034  0.02772361  -2.2450 0.0247662 *  
8416   0.04399198  0.03188283   1.3798 0.1676478    
8417  -0.00928426  0.02686153  -0.3456 0.7296176    
8425   0.07012388  0.02686297   2.6104 0.0090429 ** 
8426   0.10036275  0.02685892   3.7367 0.0001865 ***
8435   0.14669986  0.03194629   4.5921 4.389e-06 ***
8436   0.04292418  0.02689355   1.5961 0.1104716    
8437   0.05433099  0.02689365   2.0202 0.0433610 *  
9161   0.09976228  0.02683159   3.7181 0.0002007 ***
9162   0.14308364  0.02689571   5.3199 1.038e-07 ***
9163   0.15888369  0.02709969   5.8629 4.548e-09 ***
9171   0.16909565  0.02690086   6.2859 3.260e-10 ***
9172   0.19163026  0.02717670   7.0513 1.773e-12 ***
9173  -0.00544585  0.02712336  -0.2008 0.8408699    
9174   0.07366433  0.02682180   2.7464 0.0060247 ** 
9175   0.16195950  0.02693000   6.0141 1.809e-09 ***
9176   0.15513032  0.02683064   5.7818 7.389e-09 ***
9177   0.18765550  0.02683922   6.9918 2.713e-12 ***
9178   0.07625178  0.02681387   2.8437 0.0044587 ** 
9179   0.15649191  0.02687730   5.8225 5.799e-09 ***
9181   0.12583438  0.02691038   4.6761 2.924e-06 ***
9182   0.13668558  0.02713084   5.0380 4.704e-07 ***
9183   0.20092357  0.02687705   7.4757 7.683e-14 ***
9184   0.08784225  0.02691082   3.2642 0.0010977 ** 
9185   0.14751427  0.02681429   5.5013 3.769e-08 ***
9186   0.13495481  0.02680594   5.0345 4.791e-07 ***
9187   0.21471771  0.02700219   7.9519 1.776e-15 ***
9188   0.08604907  0.02699514   3.1876 0.0014347 ** 
9189   0.15161706  0.02696427   5.6229 1.878e-08 ***
9190   0.21972233  0.02710839   8.1053 4.441e-16 ***
9261   0.17109096  0.02680896   6.3819 1.750e-10 ***
9262   0.15219323  0.02691178   5.6553 1.556e-08 ***
9263   0.19715378  0.02680562   7.3549 1.910e-13 ***
9271   0.17318867  0.02683982   6.4527 1.099e-10 ***
9272   0.06992732  0.02694332   2.5953 0.0094495 ** 
9273   0.14129849  0.02682789   5.2669 1.388e-07 ***
9274   0.17562203  0.02680679   6.5514 5.700e-11 ***
9275   0.15292370  0.02684345   5.6969 1.220e-08 ***
9276   0.04752287  0.02691534   1.7656 0.0774558 .  
9277   0.19310561  0.02685823   7.1898 6.488e-13 ***
9278   0.13104773  0.02680221   4.8894 1.011e-06 ***
9279   0.16381952  0.02682112   6.1079 1.010e-09 ***
9361   0.10853428  0.02685828   4.0410 5.322e-05 ***
9362   0.14869140  0.02685593   5.5366 3.083e-08 ***
9363   0.09640018  0.02685104   3.5902 0.0003304 ***
9371   0.12032935  0.02685326   4.4810 7.430e-06 ***
9372   0.13224492  0.02684443   4.9263 8.378e-07 ***
9373   0.09576386  0.02688097   3.5625 0.0003673 ***
9374   0.06877643  0.02686431   2.5601 0.0104630 *  
9375   0.10507696  0.02681295   3.9189 8.896e-05 ***
9376   0.08232394  0.02683850   3.0674 0.0021594 ** 
9377   0.11687588  0.02696454   4.3344 1.461e-05 ***
9461   0.06975072  0.02959626   2.3567 0.0184361 *  
9462   0.09425981  0.02688510   3.5060 0.0004549 ***
9463   0.09240348  0.02685313   3.4411 0.0005794 ***
9464   0.05259817  0.02699397   1.9485 0.0513533 .  
9471   0.05809610  0.02685560   2.1633 0.0305199 *  
9472   0.07777969  0.02689431   2.8920 0.0038274 ** 
9473   0.06446429  0.02686721   2.3994 0.0164235 *  
9474   0.09977248  0.02685726   3.7149 0.0002033 ***
9475   0.05796543  0.02703238   2.1443 0.0320092 *  
9476  -0.01469283  0.02694644  -0.5453 0.5855745    
9477   0.15999596  0.02690998   5.9456 2.754e-09 ***
9478   0.08703554  0.02688110   3.2378 0.0012046 ** 
9479   0.04748676  0.02703121   1.7567 0.0789625 .  
9561   0.14663738  0.02687215   5.4569 4.846e-08 ***
9562   0.02853495  0.02686947   1.0620 0.2882429    
9563   0.03500829  0.02686946   1.3029 0.1926080    
9564   0.06897970  0.02685784   2.5683 0.0102191 *  
9565   0.08226114  0.02687218   3.0612 0.0022045 ** 
9571   0.10062111  0.02685124   3.7474 0.0001787 ***
9572   0.02164116  0.02686059   0.8057 0.4204249    
9573   0.02420745  0.02687868   0.9006 0.3677909    
