        Estimate Std. Error  t-value  Pr(>|t|)    
6531   0.1683565  0.0242654   6.9381 3.973e-12 ***
6532   0.1283505  0.0250093   5.1321 2.865e-07 ***
6533   0.0765609  0.0242658   3.1551 0.0016044 ** 
6534   0.1719618  0.0242917   7.0790 1.452e-12 ***
6535   0.1411824  0.0243242   5.8042 6.468e-09 ***
6611   0.1474019  0.0277490   5.3120 1.084e-07 ***
6631   0.0917755  0.0242977   3.7771 0.0001586 ***
6632   0.0907349  0.0243153   3.7316 0.0001903 ***
6633   0.1574639  0.0243004   6.4799 9.179e-11 ***
6634   0.1809563  0.0242864   7.4509 9.259e-14 ***
6635   0.1509323  0.0243397   6.2011 5.608e-10 ***
6636   0.1421619  0.0242883   5.8531 4.825e-09 ***
7132   0.0504993  0.0288876   1.7481 0.0804416 .  
7134  -0.0277964  0.0317408  -0.8757 0.3811771    
7137   0.0908651  0.0267687   3.3944 0.0006877 ***
7138   0.1285671  0.0277756   4.6288 3.678e-06 ***
7140   0.0710407  0.0302470   2.3487 0.0188397 *  
7141   0.0837241  0.0250088   3.3478 0.0008146 ***
7143   0.1018425  0.0258528   3.9393 8.171e-05 ***
7231   0.0633432  0.0243133   2.6053 0.0091797 ** 
7232   0.0524724  0.0243357   2.1562 0.0310692 *  
7235   0.0615809  0.0243355   2.5305 0.0113903 *  
7333   0.0654568  0.0267980   2.4426 0.0145819 *  
7336  -0.0112723  0.0243099  -0.4637 0.6428695    
7340   0.0495940  0.0258565   1.9180 0.0551048 .  
8115   0.0591317  0.0277472   2.1311 0.0330823 *  
8116   0.0570309  0.0243095   2.3460 0.0189745 *  
8117   0.0868373  0.0251019   3.4594 0.0005414 ***
8118   0.1432504  0.0242888   5.8978 3.684e-09 ***
8119   0.0404042  0.0243112   1.6620 0.0965210 .  
8125   0.0809263  0.0242956   3.3309 0.0008656 ***
8126   0.0837307  0.0242901   3.4471 0.0005666 ***
8127   0.0236859  0.0243087   0.9744 0.3298676    
