        Estimate Std. Error  t-value  Pr(>|t|)    
6533   0.0588305  0.0278975   2.1088 0.0349610 *  
6534   0.1590950  0.0278584   5.7108 1.124e-08 ***
6535   0.1480466  0.0278950   5.3073 1.113e-07 ***
6611   0.1249039  0.0319008   3.9154 9.026e-05 ***
6631   0.1075620  0.0279383   3.8500 0.0001181 ***
6632   0.0973957  0.0279012   3.4907 0.0004817 ***
6633   0.1524005  0.0279170   5.4591 4.787e-08 ***
6634   0.1771994  0.0278756   6.3568 2.060e-10 ***
6635   0.1542888  0.0279090   5.5283 3.234e-08 ***
6636   0.1439347  0.0278993   5.1591 2.482e-07 ***
7132   0.0407254  0.0331407   1.2289 0.2191231    
7134  -0.0332713  0.0362860  -0.9169 0.3591852    
7137   0.0418145  0.0307470   1.3600 0.1738445    
7138   0.0830321  0.0319075   2.6023 0.0092607 ** 
7140   0.0555477  0.0346165   1.6047 0.1085691    
7141   0.0635442  0.0287421   2.2108 0.0270470 *  
7143   0.0988110  0.0296547   3.3321 0.0008621 ***
7231   0.0332172  0.0278973   1.1907 0.2337731    
7232   0.0289900  0.0278825   1.0397 0.2984708    
7235   0.0349896  0.0278817   1.2549 0.2095043    
7333   0.0050999  0.0307789   0.1657 0.8683978    
7336  -0.0477030  0.0279318  -1.7078 0.0876659 .  
7340   0.0160125  0.0297089   0.5390 0.5899008    
8115   0.0537506  0.0318513   1.6875 0.0914986 .  
8116   0.0310606  0.0279545   1.1111 0.2665201    
8117   0.0985431  0.0288231   3.4189 0.0006288 ***
8118   0.0800390  0.0280451   2.8539 0.0043181 ** 
8119   0.0020916  0.0280096   0.0747 0.9404727    
8125   0.0202652  0.0280346   0.7229 0.4697652    
8126   0.0372243  0.0279682   1.3310 0.1832052    
8127   0.0014600  0.0279264   0.0523 0.9583045    
8128   0.0117945  0.0279242   0.4224 0.6727513    
8135   0.0309439  0.0331549   0.9333 0.3506573    
8136   0.0265126  0.0279268   0.9494 0.3424364    
8215  -0.0236695  0.0335059  -0.7064 0.4799235    
8216  -0.0174810  0.0336319  -0.5198 0.6032221    
8225  -0.0328935  0.0279124  -1.1785 0.2386153    
8226  -0.0281367  0.0282410  -0.9963 0.3191015    
8235  -0.0112762  0.0331612  -0.3400 0.7338258    
8236   0.0816007  0.0279488   2.9197 0.0035042 ** 
8237   0.0464836  0.0279127   1.6653 0.0958484 .  
8315  -0.0169817  0.0334437  -0.5078 0.6116144    
8316  -0.0015665  0.0368034  -0.0426 0.9660490    
8317  -0.0178572  0.0313176  -0.5702 0.5685456    
8325   0.0015588  0.0279812   0.0557 0.9555751    
8326   0.0904716  0.0332160   2.7237 0.0064549 ** 
8327   0.0674690  0.0289034   2.3343 0.0195804 *  
8335   0.0218492  0.0279606   0.7814 0.4345518    
8336   0.0697197  0.0334098   2.0868 0.0369058 *  
8337   0.0269721  0.0279763   0.9641 0.3349939    
8415  -0.0574914  0.0288788  -1.9908 0.0465052 *  
8416   0.0201527  0.0331594   0.6078 0.5433528    
8417  -0.0072577  0.0279586  -0.2596 0.7951834    
8425   0.0581908  0.0279671   2.0807 0.0374628 *  
8426   0.0738540  0.0279572   2.6417 0.0082497 ** 
8435   0.0987565  0.0333167   2.9642 0.0030350 ** 
8436   0.0132118  0.0280277   0.4714 0.6373659    
8437   0.0476631  0.0280185   1.7011 0.0889191 .  
9161   0.0557144  0.0279366   1.9943 0.0461175 *  
9162   0.0961396  0.0281090   3.4202 0.0006257 ***
9163   0.1035368  0.0283668   3.6499 0.0002623 ***
9171   0.1069516  0.0280520   3.8126 0.0001375 ***
9172   0.1558118  0.0283859   5.4891 4.041e-08 ***
9173  -0.0292320  0.0286380  -1.0207 0.3073770    
9174   0.0377286  0.0279549   1.3496 0.1771368    
9175   0.1160509  0.0280774   4.1333 3.577e-05 ***
9176   0.1158708  0.0279373   4.1475 3.361e-05 ***
9177   0.1402833  0.0280144   5.0075 5.513e-07 ***
9178   0.0383816  0.0279802   1.3717 0.1701442    
9179   0.1258223  0.0280239   4.4898 7.128e-06 ***
9181   0.1020168  0.0280635   3.6352 0.0002777 ***
9182   0.1160799  0.0286902   4.0460 5.211e-05 ***
9183   0.1371327  0.0279987   4.8978 9.691e-07 ***
9184   0.0456921  0.0280990   1.6261 0.1039257    
9185   0.1031010  0.0279305   3.6913 0.0002231 ***
9186   0.0959936  0.0279364   3.4362 0.0005900 ***
9187   0.1617658  0.0281992   5.7365 9.664e-09 ***
9188   0.0643115  0.0281684   2.2831 0.0224239 *  
