         Estimate  Std. Error  t-value  Pr(>|t|)    
6532   0.11899379  0.02832988   4.2003 2.666e-05 ***
6533   0.06540144  0.02748334   2.3797 0.0173279 *  
6534   0.16221694  0.02750512   5.8977 3.686e-09 ***
6535   0.14844046  0.02753979   5.3900 7.044e-08 ***
6611   0.13843789  0.03142564   4.4053 1.057e-05 ***
6631   0.10208624  0.02756258   3.7038 0.0002124 ***
6632   0.09797129  0.02756855   3.5537 0.0003798 ***
6633   0.15555484  0.02749251   5.6581 1.531e-08 ***
6634   0.18520741  0.02751152   6.7320 1.674e-11 ***
6635   0.15509666  0.02755610   5.6284 1.819e-08 ***
6636   0.15354249  0.02752315   5.5787 2.424e-08 ***
7132   0.05208454  0.03272164   1.5917 0.1114418    
7134  -0.03097837  0.03588479  -0.8633 0.3879874    
7137   0.07143100  0.03034690   2.3538 0.0185818 *  
7138   0.10750177  0.03141529   3.4220 0.0006217 ***
7140   0.06098849  0.03419941   1.7833 0.0745342 .  
7141   0.07212718  0.02837216   2.5422 0.0110163 *  
7143   0.10090263  0.02925523   3.4490 0.0005626 ***
7231   0.04377438  0.02754406   1.5892 0.1120041    
7232   0.03796920  0.02757219   1.3771 0.1684866    
7235   0.04381660  0.02752489   1.5919 0.1114094    
7333   0.01594748  0.03034388   0.5256 0.5991950    
7336  -0.04671046  0.02750719  -1.6981 0.0894854 .  
7340   0.03372527  0.02928381   1.1517 0.2494569    
8115   0.06820802  0.03145043   2.1687 0.0301019 *  
8116   0.06201330  0.02748942   2.2559 0.0240771 *  
8117   0.12210741  0.02839539   4.3003 1.706e-05 ***
8118   0.12016640  0.02752710   4.3654 1.269e-05 ***
8119   0.03586358  0.02750162   1.3041 0.1922153    
8125   0.06216219  0.02753439   2.2576 0.0239694 *  
8126   0.07543706  0.02752252   2.7409 0.0061267 ** 
8127   0.02901493  0.02754061   1.0535 0.2920970    
8128   0.03439036  0.02753031   1.2492 0.2115985    
8135   0.05181716  0.03285762   1.5770 0.1147906    
8136   0.04355846  0.02758708   1.5789 0.1143488    
8215   0.03653448  0.03274930   1.1156 0.2646017    
8216   0.02978687  0.03277350   0.9089 0.3634184    
8225  -0.00458972  0.02753515  -0.1667 0.8676173    
8226   0.03211016  0.02757993   1.1643 0.2443194    
8235  -0.01103787  0.03276954  -0.3368 0.7362426    
8236   0.11018951  0.02749980   4.0069 6.152e-05 ***
8237   0.05693474  0.02756345   2.0656 0.0388674 *  
8315   0.01840691  0.03273531   0.5623 0.5739148    
8316   0.07163546  0.03589937   1.9955 0.0459936 *  
8317   0.03477301  0.03036514   1.1452 0.2521421    
8325  -0.00062088  0.02763907  -0.0225 0.9820780    
8326   0.07238733  0.03294789   2.1970 0.0280187 *  
8327   0.05126614  0.02857630   1.7940 0.0728117 .  
8335   0.04755549  0.02750906   1.7287 0.0838590 .  
8336   0.09215698  0.03276452   2.8127 0.0049126 ** 
8337   0.03503235  0.02752224   1.2729 0.2030626    
8415  -0.06930954  0.02856902  -2.4260 0.0152647 *  
8416   0.03740282  0.03271262   1.1434 0.2528827    
8417  -0.00687756  0.02756911  -0.2495 0.8030001    
8425   0.06863759  0.02761742   2.4853 0.0129442 *  
8426   0.09405123  0.02756425   3.4121 0.0006447 ***
8435   0.13723541  0.03279115   4.1851 2.850e-05 ***
8436   0.03915200  0.02758366   1.4194 0.1557850    
8437   0.05617494  0.02766476   2.0306 0.0422997 *  
9161   0.09417577  0.02753025   3.4208 0.0006243 ***
9162   0.12285633  0.02755974   4.4578 8.280e-06 ***
9163   0.11617303  0.02773990   4.1879 2.815e-05 ***
9171   0.14482656  0.02754013   5.2587 1.450e-07 ***
9172   0.17567774  0.02777298   6.3255 2.524e-10 ***
9173  -0.04316097  0.02769326  -1.5585 0.1191060    
9174   0.07390061  0.02756709   2.6808 0.0073456 ** 
9175   0.14211442  0.02759620   5.1498 2.608e-07 ***
9176   0.15191745  0.02757688   5.5089 3.611e-08 ***
9177   0.18390979  0.02753748   6.6785 2.414e-11 ***
9178   0.07407425  0.02751870   2.6918 0.0071072 ** 
9179   0.14007840  0.02757480   5.0799 3.775e-07 ***
9181   0.10568740  0.02757832   3.8323 0.0001270 ***
9182   0.10122227  0.02777294   3.6446 0.0002678 ***
9183   0.18352293  0.02757011   6.6566 2.803e-11 ***
9184   0.06909940  0.02758125   2.5053 0.0122346 *  
9185   0.15239570  0.02756671   5.5283 3.234e-08 ***
9186   0.13203488  0.02753136   4.7958 1.620e-06 ***
9187   0.17921494  0.02761216   6.4904 8.559e-11 ***
9188   0.06870397  0.02761845   2.4876 0.0128604 *  
9189   0.12189440  0.02759280   4.4176 9.980e-06 ***
9190   0.18341185  0.02763993   6.6358 3.228e-11 ***
9261   0.16156606  0.02748445   5.8785 4.141e-09 ***
9262   0.13261437  0.02751942   4.8189 1.443e-06 ***
9263   0.17993895  0.02748420   6.5470 5.871e-11 ***
9271   0.15350491  0.02751161   5.5796 2.410e-08 ***
9272   0.06559603  0.02756937   2.3793 0.0173452 *  
9273   0.13604819  0.02753122   4.9416 7.748e-07 ***
9274   0.17102719  0.02750089   6.2190 5.004e-10 ***
9275   0.12778478  0.02751678   4.6439 3.419e-06 ***
9276   0.03732595  0.02763322   1.3508 0.1767711    
9277   0.17400563  0.02752567   6.3216 2.589e-10 ***
9278   0.11592429  0.02747607   4.2191 2.453e-05 ***
9279   0.14895657  0.02750291   5.4160 6.094e-08 ***
9361   0.09839945  0.02751650   3.5760 0.0003489 ***
9362   0.13407806  0.02751819   4.8723 1.103e-06 ***
9363   0.09556152  0.02752557   3.4717 0.0005171 ***
9371   0.11420310  0.02753974   4.1468 3.371e-05 ***
9372   0.12737964  0.02753877   4.6255 3.738e-06 ***
